Pneumomediastinum	HP:0025421
Acroosteolysis	None
Curved middle phalanx of the 2nd finger	None
Curved middle bone of the index finger	None
Osteolytic defects of the phalanges of the 2nd toe	None
Small end part of the big toe bone	None
Small epiphyses of the hallux	None
Increased wrist mobility	None
Increased laxity of wrists	None
Hyperextensibility at wrists	None
Absent ossification of thoracic vertebral bodies	None
Bending of the arm	None
Bowing of the arm	None
Irregular metacarpals	None
Irregular long bones of hand	None
Bracket shaped end part of index finger	None
Bracket-epiphyses of index finger	None
Bracket epiphyses of the 2nd finger	None
Premaxillary bone retrusion	None
Decreased size of the primary palate bone	None
Hypoplasia of the premaxilla	None
Premaxillary retrusion	None
Small primary palate bone	None
Premaxillary bone deficiency	None
Premaxillary underdevelopment	None
Underdevelopment of the premaxilla	None
Hypoplasia of the primary palate bone	None
Decreased size of premaxilla	None
Primary palate bone deficiency	None
Small premaxilla	None
Hypoplasia of the intermaxillary bone	None
Underdevelopment of the primary palate bone	None
Primary palate bone retrusion	None
Underdevelopment of premaxilla	None
Small end part of the middle bone of the middle finger	None
Small epiphysis of the middle phalanx of the 3rd finger	None
Abnormality of the long bone of hand	None
Abnormality of the metacarpal bones	None
Anomaly of the metacarpal bones	None
Growth arrest lines	None
Harris lines	None
Growth resumption lines	None
Calcification of cartilage	None
Increased bone density of end part of the toes	None
Ivory epiphyses of the toes	None
Ivory epiphyses of the middle phalanges of the hand	None
Increased bone density of end part of the middle hand bones	None
Achilles tendonitis	None
Pectus excavatum of inferior sternum	None
Pectus excavatum inferiorly	None
Swelling of innermost hinge joints	None
Swelling of proximal interphalangeal joints	None
Unilateral ulnar hypoplasia	None
Absent/underdeveloped outermost middle finger bone	None
Aplasia/Hypoplasia of the distal phalanx of the 3rd finger	None
Absent/small outermost middle finger bone	None
Bilateral coxa valga	None
Short outermost bone of the 3rd toe	None
Short distal phalanx of the 3rd toe	None
Hypoplastic/small distal phalanx of the 3rd toe	None
Short distal phalanx of the third toe	None
Osteolytic defects of the phalanges of the 4th finger	None
Lytic defects of the phalanges of the ring finger	None
Wide middle phalanx of the 5th finger	None
Broad middle phalanx of the 5th finger	None
Broad middle bone of pinkie finger	None
Broad middle bone of little finger	None
Broad middle bone of pinky finger	None
Sparse bone trabeculae	None
Decreased pneumatization of frontal sinus	None
Small frontal sinuses	None
Decreased volume of frontal sinuses	None
Hypotrophic frontal sinus	None
Hypoplastic frontal sinuses	None
Underdeveloped frontal sinuses	None
Flattened radial epiphyses	None
Ivory epiphysis of the distal phalanx of the 3rd toe	None
Increased bone density of end part of the outermost bone of the 3rd toe	None
Bracket epiphyses of the middle phalanges of the hand	None
Bracket shaped end part of the middle hand bones	None
Spondyloepimetaphyseal dysplasia	None
Bowed ulna	None
Curved ulna	None
Curving of inner forearm bone	None
Ulnar bowing	None
Pseudoepiphyses of the proximal phalanges of the hand	None
Stippling of the epiphyses of the hallux	None
Speckled calcifications in the end part of the big toe bone	None
Cone-shaped end part of middle finger bone	None
Cone-shaped epiphyses of the 3rd finger	None
Absent middle bone of middle finger	None
Absent middle phalanx of 3rd finger	None
Aplasia of the middle phalanx of the 3rd finger	None
Absent middle phalanx of middle finger	None
Decreased height of mandibular ramus	None
Decreased size of mandibular ramus	None
Underdeveloped mandibular rami	None
Short body and ramus of mandible	None
Short mandibular rami	None
Short mandibular ramus	None
Abnormality of the femoral neck or head region	None
Abnormal neck or head of thigh bone	None
Abnormality of the trapezium	None
Widened femoral necks	None
Wide neck of thigh bone	None
Wide femoral neck	None
Broadening of femoral neck	None
Broad femoral neck	None
Narrow thorax	None
Reduced anterior-posterior chest diameter	None
Narrow chest	None
Narrow shoulders	None
Low chest circumference	None
Sclerosis of middle finger phalanx	None
Increased bone density in middle finger bone of hand	None
Sclerosis of the middle phalanges of the hand	None
Stippling of the epiphysis of the middle phalanx of the 2nd toe	None
Speckled calcifications in of the end part of the middle bone of the 2nd toe	None
Complete duplication of the bones of the ring finger	None
Complete duplication of the phalanges of the 4th finger	None
Increased bone density of end part of the middle bone of the 4th toe	None
Ivory epiphysis of the middle phalanx of the 4th toe	None
Increased bone density in 4th toe bone	None
Sclerosis of 4th toe phalanx	None
Sclerosis of the phalanges of the 4th toe	None
Hypoplastic spinal processes	None
Underdeveloped spinal processes	None
Pseudoepiphyses of the 5th toe	None
Joint contractures of the 2nd finger	None
Flexion contracture of the 2nd finger	None
Mesomelia of the lower limbs	None
Mesomelic leg shortening	None
Mesomelic lower limb shortening	None
Fibular deviation of toes	None
Lateral deviation of toes	None
Stippling of the epiphysis of the distal phalanx of the 3rd toe	None
Speckled calcifications in the end part of the outermost bone of the 3rd toe	None
Aplasia of the forearm bones	None
Absent forearm bone	None
Patchy reduction of bone mineral density	None
Thoracic aorta calcification	None
Type A1 brachydactyly	None
Curved distal phalanx of the hallux	None
Curved outermost bone of big toe	None
Poorly ossified vertebrae	None
Contracture of the distal interphalangeal joint of the 4th toe	None
Exostoses of hand bones	None
Narrow joint spaces of wrist	None
Absent proximal finger flexion creases	None
Fragmentation of the end part of the pinkie toe bone	None
Fragmentation of the epiphyses of the 5th toe	None
Fragmentation of the end part of the little toe bone	None
Fragmentation of the end part of the pinky toe bone	None
Wide humeral epiphyses	None
Wide end part of long bone in upper arm	None
Broad humeral epiphyses	None
Duplication of thumb phalanx	None
Duplication of phalanx of thumb	None
Complete/partial duplication of phalanges of the thumb	None
Duplicated thumb	None
Duplicated thumbs	None
Limited knee extension	None
Metaphyseal enchondromatosis	None
Camptodactyly of feet	None
Camptodactyly of toe	None
Fused sternal ossification centers	None
Restricted large joint movement	None
Limited pronation/supination of forearm	None
Progressive fusion 2nd-5th pip joints	None
Stippling of the epiphyses of the 5th finger	None
Speckled calcifications in end part of pinky finger bone	None
Speckled calcifications in end part of pinkie finger bone	None
Speckled calcifications in end part of little finger bone	None
Localized osteoporosis	None
5th finger camptodactyly	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Flattened moderately deformed vertebrae	None
Osteolysis involving bones of the feet	None
Absent/underdeveloped pinky finger	None
Absent/underdeveloped pinkie finger	None
Absent/small pinky finger	None
Aplasia/Hypoplasia of the 5th finger	None
Absent/small pinkie finger	None
Absent/small little finger	None
Absent/underdeveloped little finger	None
Aplasia/hypoplasia of the femur	None
Absent/small thighbone	None
Absent/underdeveloped thighbone	None
Hypoplastic to absent femora	None
Hypoplastic/aplastic femora	None
Speckled calcifications in end part of middle finger bone	None
Stippling of the epiphyses of the 3rd finger	None
Varus deformity of humeral neck	None
Fusion involving the 2nd long bone of hand	None
Synostosis involving the 2nd metacarpal	None
Ivory epiphyses of the hallux	None
Increased bone density of end part of the big toe bone	None
Absent epiphysis of the middle phalanx of the 2nd toe	None
Absent end part of the middle bone of the 2nd toe	None
Bowed limbs due to multiple fractures	None
Bowing of limbs due to multiple fractures	None
Deficiency of nasal bone	None
Nasal bone hypoplasia	None
Underdevelopment of nasal bone	None
Decreased size of nasal bone	None
Small nasal bone	None
Hypoplasia of the nasal bone	None
Hypotrophic nasal bone	None
Abnormal maturation of rib bones	None
Abnormal rib ossification	None
Anterior beaking of thoracic vertebrae	None
Decreased number of vertebrae	None
Abnormality of arm long bone growth plate	None
Abnormality of the humeral epiphyseal plate	None
Beaking of vertebral bodies	None
Beaked vertebral bodies	None
Wedged vertebrae	None
anterior wedging	None
Vertebral tongue-like protrusion	None
Anterior beaking of vertebrae	None
Anterior beaking of vertebral bodies	None
anterior beaking	None
Curved innermost pinky toe bone	None
Curved proximal phalanx of the 5th toe	None
Curved innermost pinkie toe bone	None
Curved innermost little toe bone	None
3-5 finger syndactyly	None
Webbed third, fourth and fifth toes	None
Abnormal ossification of the trapezoid bone	None
Abnormal shape of hypophysial fossa	None
Abnormal shape of pituitary fossa	None
Deformed sella turcica	None
Malformation of sella turcica	None
Malformation of pituitary fossa	None
Deformity of pituitary fossa	None
Abnormal shape of sella turcica	None
Malformation of hypophysial fossa	None
Deformity of hypophysial fossa	None
Sloping radial epiphyses	None
Bilateral coronal craniosynostosis	None
Bilateral coronal suture craniosynostosis	None
Bilateral coronal suture synostosis	None
Bicoronal synostosis	None
Abnormality of the joints of the lower limbs	None
Abnormality of lower limb joint	None
Diaphyseal cortical sclerosis	None
Lytic defects of the radius	None
Unilateral radial aplasia	None
Fibular deviation of the 2nd toe	None
Absent innermost ring finger bone	None
Aplasia of the proximal phalanx of the 4th finger	None
Stippled chondral calcification	None
Dislocation of hip	None
Hip dislocation	None
Dislocated hips	None
Uneven increase in bone density in the innermost bone of pinkie finger	None
Uneven increase in bone density in the innermost bone of little finger	None
Patchy sclerosis of the proximal phalanx of the 5th finger	None
Uneven increase in bone density in the innermost bone of pinky finger	None
Large joint dislocations	None
Sinusitis	None
Sinus inflammation	None
Sinus disease	None
Sinus infection	None
Thin calvarium	None
Thin cranial bone	None
Thin skull bone	None
Adducted thumb	None
Adducted thumbs	None
Inward turned thumb	None
Hypoplastic carotid canal	None
Arthritis of temporomandibular joint	None
Temporomandibular arthritis	None
Absent ossification/absent proximal thumb phalanx	None
Aplasia of the proximal phalanx of the thumb	None
Absent proximal phalanx of thumb	None
Absent innermost thumb bone	None
Cone-shaped end part of the outermost bone of the pinky toe	None
Cone-shaped end part of the outermost bone of the pinkie toe	None
Cone-shaped epiphysis of the distal phalanx of the 5th toe	None
Cone-shaped end part of the outermost bone of the little toe	None
Duplication involving bones of the feet	None
Absent 3rd long bone of hand	None
Aplasia of the 3rd metacarpal	None
Abnormal temporal bone morphology	None
Abnormality of the temporal bone	None
Loss of bladder control	None
Bladder incontinence	None
Urinary incontinence	None
Abdominal discomfort	None
Stomach pain	None
Gastrointestinal pain	None
Pain in stomach	None
Abdominal pain	None
Upset stomach	None
Gastro pain	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Fecal incontinence	None
Bowel incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Arthritic pain	None
Arthralgia	None
Joint pain	None
Arthralgias	None
Joint pains	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Low back pain	None
Lower back pain	None
Muscle pain, exercise-induced	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Exercise-induced muscle pain	None
Arthralgia/arthritis	None
Joint pain/Joint inflammation	None
Costochondral pain	None
Costochondral junction pain	None
Pain in extremities	None
Limb pain	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Fatigue	None
Tiredness	None
Malaise	None
Tired	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Leg pain	None
Lower limb pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Foot pain	None
Asthenia	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Pain in the ear	None
Ear pain	None
Otalgia	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Exercise-induced fatigue	None
Postexertional fatigue	None
Postexertional malaise	None
Exercise-induced malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf muscle pain	None
Calf myalgia	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Encopresis	None
Stool holding	None
Stool soiling	None
Jaw pain	None
Thoracic pain	None
Chest pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Halitosis	None
Foetor ex ore	None
Bad breath	None
Lower jaw pain	None
Mandibular pain	None
Ocular pain	None
Eye pain	None
Epigastrium pain	None
Epigastric pain	None
