Abnormality of the breast	HP:0000769
Alcohol-induced rhabdomyolysis	None
Abnormality of mentalis muscle	None
Axial muscle weakness	None
Muscle weakness, proximal, lower limbs	None
Proximal muscle weakness in lower limbs	None
Aplasia of the left hemidiaphragm	None
Congenital absence of gluteal muscles	None
Scapuloperoneal amyotrophy	None
Scapuloperoneal atrophy	None
Mitochondrial proliferation in muscle tissue	None
Ragged-red fibers	None
Ragged red muscle fibers	None
Ragged-red muscle fibers	None
Reduced maximal expiratory pressure	None
Contracture of the distal interphalangeal joint of the 4th toe	None
Contractures of the metacarpophalangeal joint of the thumb	None
Atony of facial musculature	None
Facial hypotonia	None
Low facial muscle tone	None
Decreased facial muscle tone	None
Reduced facial muscle tone	None
Hypotonic facies	None
Nemaline rods	None
Nemaline bodies	None
Abnormality of the musculature of the upper arm	None
Abnormality of depressor anguli oris muscle	None
Single fiber EMG abnormality	None
Ankle weakness	None
Proximal upper limb muscle hypertrophy	None
Muscle tissue disease	None
Myopathic changes	None
Myopathy	None
Spastic paraplegia	None
Spastic paraplegia, lower limb	None
Increased muscle fatiguability	None
Muscle fatigue	None
Abnormality of axial muscles	None
Abnormal axial muscle morphology	None
Abnormal hyoglossus muscle morphology	None
Abnormality of hyoglossus muscle	None
Contractures of the carpometacarpal joint of the thumb	None
EMG: repetitive nerve stimulation abnormality	None
Abnormality of lingual muscle	None
Abnormality of the tongue muscle	None
Percussion-induced rapid rolling muscle contractions	None
Cervical dystonia	None
Loxia	None
Wry neck	None
Torticollis	None
Spasmodic torticollis	None
Progressive muscle weakness	None
Progressive muscular weakness	None
Muscle weakness, progressive	None
Absent muscle fiber beta sarcoglycan	None
Pectoralis major hypoplasia	None
Pectoralis major muscle hypoplasia	None
Congenital bilateral facial weakness	None
Congenital bilateral facial palsy	None
Congenital facial diplegia	None
Lower limb spasticity	None
Upper limb hypertonia	None
Abnormality of the right hemidiaphragm	None
Generalized muscular appearance from birth	None
Progressive proximal muscle weakness	None
Muscle weakness, progressive, proximal	None
Contracture of the distal interphalangeal joint of the fingers	None
EMG: impaired neuromuscular transmission	None
Pectoralis hypoplasia	None
Small pec muscle	None
Hypoplastic pectoral muscle	None
Underdeveloped pec muscle	None
Abnormality of muscle of nose	None
Abnormality of nasal musculature	None
Abnormality of musculature of the nose	None
Hemiglossal hyperplasia	None
Hypertrophy of half of the tongue	None
Hemiglossal hypertrophy	None
Hyperplasia of half of the tongue	None
Increased size of half of the tongue	None
Hemimacroglossia	None
Large half of tongue	None
Abnormal muscle fiber merosin expression	None
Limb joint contracture	None
Limb contractures	None
Increased muscle tone of arm or leg	None
Limb hypertonia	None
Muscle fiber inclusion bodies	None
Fiber splitting	None
Muscle fiber splitting	None
Fibre splitting	None
Muscle fibre splitting	None
Clasp-knife sign	None
Abnormal thigh muscles	None
Abnormality of the musculature of the thigh	None
Proximal muscle weakness in upper limbs	None
Reduced muscle fiber perlecan	None
Hand muscle weakness	None
Distal limb muscle weakness due to peripheral neuropathy	None
Weakness of distal muscles	None
Distal muscle weakness	None
Distal paresis	None
Distal limb weakness	None
Distal muscular weakness	None
Muscle weakness, distal	None
Muscle weakness, distal limbs, due to neuronopathy	None
Weakness of outermost muscles	None
Distal limb muscle weakness	None
Proximal muscle wasting	None
Proximal muscle atrophy	None
Symmetric proximal muscular atrophy	None
Muscle atrophy, proximal	None
Symmetrical, proximal limb muscle atrophy	None
Wasting of muscles near the body	None
Proximal amyotrophy	None
Hypotonia, neonatal, generalized	None
Generalized neonatal hypotonia	None
Generalized low muscle tone in neonate	None
Hip girdle amyotrophy	None
Pelvic girdle amyotrophy	None
EMG: decrement at repetitive stimulation	None
EMG: decremental response of CMAP to repetitive nerve stimulation	None
EMG: decremental response of compound muscle action potential to repetitive nerve stimulation	None
Myelin-like whorls in vacuolated fibres	None
Myelin-like whorls in vacuolated fibers	None
Type 1 muscle fiber predominance	None
Type I muscle fiber predominance	None
First dorsal interossei muscle weakness	None
Rhabdomyolysis with exercise	None
Exercise-induced rhabdomyolysis	None
Wasting of pec muscles	None
Pectoralis amyotrophy	None
Hypoplasia of serratus anterior muscle	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal lateral cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormality of shoulder musculature	None
Abnormality of the shoulder girdle musculature	None
Diffuse muscle atrophy	None
Muscular atrophy, generalized	None
Muscle atrophy, generalized	None
Generalized muscle atrophy	None
Diffuse amyotrophy	None
Generalized amyotrophy	None
Muscle atrophy, diffuse	None
Generalized muscle degeneration	None
Diffuse muscle wasting	None
Diffuse skeletal muscle wasting	None
Muscular hypotonia	None
Low or weak muscle tone	None
Muscle hypotonia	None
Underdeveloped diaphragm	None
Hypoplasia of the diaphragm	None
Abnormal morphology of musculature of pharynx	None
Abnormality of pharynx musculature	None
Abnormality of pharyngeal musculature	None
Abnormality of musculature of pharynx	None
Abnormality of muscles of the pharynx	None
Abnormality of the left hemidiaphragm	None
Orbital rhabdomyosarcoma	None
Atrophy of masseter muscle	None
Masseter muscle atrophy	None
Atrophied masseter muscle	None
Cold-induced muscle cramps	None
Congenital muscular dystrophy	None
Muscular dystrophy, congenital	None
Hypotonia	None
Hypotonia, generalized	None
Low muscle tone	None
Generalized muscular hypotonia	None
Generalized hypotonia	None
Decreased muscle tone	None
Absent biceps	None
Biceps aplasia	None
Absent/small upper limb muscles	None
Absent/underdeveloped upper limb muscles	None
Aplasia/Hypoplasia involving the musculature of the upper limbs	None
EMG: positive sharp waves	None
Late-onset proximal muscle weakness	None
Interosseus muscle atrophy	None
Interosseous muscular atrophy	None
Thenar hypoplasia	None
Thenar muscle hypoplasia	None
Small thenar eminence	None
Decreased thenar eminence	None
Hypoplastic thenar eminences	None
Absent/small skeletal muscles	None
Absent/underdeveloped skeletal muscles	None
Aplasia/Hypoplasia involving the skeletal musculature	None
Abnormal muscle fiber emerin	None
Transient swelling of muscle induced by percussion	None
Percussion myotonia	None
Progressive spasticity	None
Spasticity, progressive	None
Absent/underdeveloped triceps	None
Absent/small triceps	None
Aplasia/Hypoplasia of the triceps	None
Contracture of the distal interphalangeal joint of the 2nd finger	None
Muscle stiffness with exercise	None
Exercise-induced muscle stiffness	None
Muscle stiffness, exercise-induced	None
Shoulder girdle atrophy	None
Shoulder-girdle muscle atrophy	None
Shoulder girdle muscle wasting	None
Shoulder girdle muscle atrophy	None
Fatigable weakness of distal limb muscles	None
Aplasia/Hypoplasia involving the shoulder musculature	None
Absent/underdeveloped shoulder muscles	None
Absent/small shoulder muscles	None
Generalized hypotonia due to defect at the neuromuscular junction	None
Abnormality of the extraocular muscles	None
Abnormality of depressor labii inferioris	None
Abnormality of depressor labii inferioris muscle	None
Underdeveloped muscles	None
Decreased muscle mass	None
Myotonia of the face	None
Contractures of the metatarsophalangeal joint of the hallux	None
Myofibrillar myopathy	None
Myofibrillar changes	None
Partial abdominal muscle agenesis	None
Alveolar rhabdomyosarcoma	None
Abnormality of zygomaticus minor muscle	None
Thenar abnormality	None
Abnormality of the thenar eminence	None
Abnormal muscle fiber gamma sarcoglycan	None
Positive Gowers sign	None
Gowers sign	None
Gower sign	None
Positive Gower sign	None
Accumulation of muscle fiber desmin	None
Muscle fiber desmin-reactive inclusion bodies	None
Abnormal muscle fiber laminin beta 1	None
Late-onset distal muscle weakness	None
Contractures of the large joints	None
Underdevelopment of neck muscle	None
Small neck muscle	None
Decreased size of neck muscle	None
Deficiency of neck muscle	None
Neck muscle hypoplasia	None
Hypotrophic neck muscle	None
Flexion contracture of the 5th toe	None
Joint contractures of the 5th toe	None
Weakness of muscles of respiration	None
Amyotrophy of the thigh musculature	None
Proximal lower limb amyotrophy	None
Thigh muscle atrophy	None
Proximal lower limb muscle atrophy	None
Wasting of thigh muscle	None
Amyotrophy involving the thigh	None
Intermittent painful muscle spasms	None
Scapular muscle hypertrophy	None
Abnormality of geniohyoid muscle	None
Hip-girdle muscle weakness	None
Pelvic girdle muscle weakness	None
Pelvic girdle weakness	None
Hip girdle weakness	None
Hip girdle muscle weakness	None
Joint contracture of the 3rd finger	None
Camptodactyly of middle finger	None
Abnormality of the hypothenar eminence	None
Camptodactyly of the ring finger	None
Camptodactyly of the 4th finger	None
Contracture of the proximal interphalangeal joint of the 4th finger	None
4th finger camptodactyly	None
Abnormality of the hemidiaphragms	None
Leg weakness	None
Lower extremity weakness	None
Lower limb weakness	None
Muscle weakness in lower limbs	None
Lower limb muscle weakness	None
Contractures of the joints of the upper limbs	None
Abnormality of masticatory muscle	None
Abnormality of muscles of mastication	None
Contracture of the distal interphalangeal joint of the 4th finger	None
Exercise-induced leg cramps	None
Pectoralis minor aplasia	None
Absence of pectoralis minor muscle	None
Tibialis muscle weakness	None
Rhabdomyoma	None
Peroneal muscle atrophy	None
Peroneal atrophy	None
Congenital hypotonia	None
Low muscle tone, in neonatal onset	None
Hypotonia, in neonatal onset	None
Hypotonia, neonatal	None
Neonatal hypotonia	None
Neck muscle hypertrophy	None
Hyperplasia of neck muscles	None
Hypertrophy of cervical muscles	None
Large neck muscles	None
Increased size of neck muscles	None
Overgrowth of neck muscles	None
Abnormal muscle fiber myotilin	None
Proximal limb muscle stiffness	None
Proximal spinal muscular atrophy	None
Decreased activity of cytochrome C oxidase in muscle tissue	None
Cytochrome c oxidase deficiency in skeletal muscle	None
Decreased skeletal muscle cytochrome c oxidase activity	None
Cytochrome C oxidase-negative muscle fibers	None
Flexion contracture of finger	None
Flexion deformity of finger	None
Jaw hyporeflexia	None
Mandibular hyporeflexia	None
Type 1 fibers relatively smaller than type 2 fibers	None
Skeletal myopathy	None
Reduced collagen 6 in muscle	None
Reduced muscle collagen VI	None
Muscle weakness	None
Muscular weakness	None
Myotonia of the lower limb	None
Segmental spinal muscular atrophy	None
Decreased muscle glycogen content	None
EMG: slow motor conduction	None
Abnormality of uvular muscle	None
Abnormality of musculus uvulae	None
Walking disability	None
Difficulty in walking	None
Difficulty walking	None
Ring fibers	None
Hypoplasia of the upper arm musculature	None
Underdeveloped upper arm muscles	None
Abnormality of tensor veli palatini muscle	None
Vagal nerve tumors	None
Glomus vagale tumor	None
Vagal paraganglioma	None
Glomus vagale paraganglioma	None
Tumors of striated muscle	None
Neoplasm of striated muscle	None
Neurofibromata	None
multiple neurofibromas	None
Neurofibromatosis	None
Neurofibromas	None
Spleen hemangioma	None
Splenic hemangioma	None
Intralobar nephrogenic rests	None
Intralobar nephroblastomatosis	None
Perifollicular fibroma	None
Subungual fibroma	None
Subungual fibromas	None
Teratoma	None
Chronic lymphocytic leukemia	None
Chronic lymphatic leukemia	None
Neoplasm of the colon	None
Colon tumor	None
Neoplasm of the nervous system	None
Tumor of the nervous system	None
Nervous system cancer	None
Neoplasia of the nervous system	None
Cortical tubers	None
Adrenocortical carcinoma	None
Adrenal carcinoma	None
Adrenal gland carinoma	None
Glabellar capillary hemangioma	None
Glabellar hemangioma	None
Tufted hemangioma	None
Hypertrophic hemangioma	None
Progressive capillary hemangioma	None
Angioblastoma of Nakagawa	None
Angioblastoma	None
Tufted angioma	None
Squamous cell cancer	None
Squamous cell carcinoma	None
Poroma	None
Pulmonary hemangiomas	None
Pulmonary capillary hemangiomatosis	None
Papillary cystadenoma of the epididymis	None
Testicular adrenal rest tumor	None
Lipoma of corpus callosum	None
Ependymoma	None
