Abnormality of taste sensation	HP:0000223
Open operculum	HP:0100954
Asymmetric ventricles	HP:0100960
Enlarged hippocampus	HP:0100961
Shyness	HP:0100962
Hyperaesthesia	HP:0100963
Hyperesthesia	HP:0100963
Abnormal length of corpus callosum	HP:0200011
Short corpus callosum	HP:0200012
Agenesis of the cerebral white matter	HP:0200017
Cerebral white matter agenesis	HP:0200017
White matter agenesis	HP:0200017
Choroid plexus papilloma	HP:0200022
Upper limb hypertonia	HP:0200049
Quadriplegia, episodic	HP:0200072
Episodic quadriplegia	HP:0200072
Tremor of limbs	HP:0200085
Limb tremor	HP:0200085
Involuntary shaking of limb	HP:0200085
Decreased or absent ankle reflexes	HP:0200101
Decreased/absent ankle reflexes	HP:0200101
Convulsive encephalopathy	HP:0200134
Epileptic encephalopathy	HP:0200134
Oral-pharyngeal dysphagia	HP:0200136
Oral pharyngeal dysphagia	HP:0200136
Difficulty swallowing	HP:0200136
Oropharyngeal dysphagia	HP:0200136
Neuronal loss in basal ganglia	HP:0200147
CSF lymphocytosis	HP:0200149
CSF lymphocytic pleiocytosis	HP:0200149
Abnormality of the peripheral nervous system	HP:0410008
Abnormality of the somatic nervous system	HP:0410009
Abnormality of somatic nerve plexus	HP:0410010
Abnormality of ganglion	HP:0410014
Abnormality of ganglion of peripheral nervous system	HP:0410015
Abnormality of cranial ganglion	HP:0410016
Abnormal neural tube morphology	HP:0410043
Decreased level of erythritol in CSF	HP:0410056
Decreased level of erythritol in cerebrospinal fluid	HP:0410056
Increased level of D-threitol in CSF	HP:0410058
Increased level of D-threitol in cerebrospinal fluid	HP:0410058
Degeneration of the hippocampus	HP:0410170
Hippocampal atrophy	HP:0410170
Atrophy of the hippocampus	HP:0410170
Elevated CSF urate concentration	HP:0410199
Increased CSF urate concentration	HP:0410199
Increased cerebrospinal fluid urate	HP:0410199
Lower cranial nerve dysfunction	HP:0410262
Abnormal lower cranial nerve function	HP:0410262
Brain imaging abnormality	HP:0410263
Abnormal brain imaging	HP:0410263
Pituitary gland cyst	HP:0410278
Cyst of the pituitary gland	HP:0410278
Atrophic pituitary gland	HP:0410279
Pituitary gland atrophy	HP:0410279
Atrophic pituitary	HP:0410279
Negativism	HP:0410291
Abnormality of neutrophil morphology in cerebrospinal fluid	HP:0410310
Abnormality of neutrophil morphology in CSF	HP:0410310
Hyposegmentation of neutrophil nuclei in cerebrospinal fluid	HP:0410311
Hyposegmentation of neutrophil nuclei in CSF	HP:0410311
Hypersegmentation of neutrophil nuclei in cerebrospinal fluid	HP:0410312
Hypersegmentation of neutrophil nuclei in CSF	HP:0410312
Bilateral facial palsy	HP:0430025
Bilateral facial muscle weakness	HP:0430025
Paralysis of both sides of the face	HP:0430025
Weakness of both sides of the face	HP:0430025
Bilateral facial muscle paralysis	HP:0430025
Bilateral facial paralysis	HP:0430025
Dysplastic gangliocytoma of the cerebellum	HP:0500009
LDD	HP:0500009
Lhermitte-Duclos disease	HP:0500009
Reduced brain gamma-aminobutyric acid level by MRS	HP:0500021
Cotton wool plaques	HP:0500028
CWPs	HP:0500028
Aberrant neuronal branching	HP:0500032
Abnormal neuron branching	HP:0500032
Abnormal neuronal branching	HP:0500032
Optic nerve sheath meningioma	HP:0500089
Abnormal CSF urate concentration	HP:0500117
Abnormal albumin levels in cerebrospinal fluid	HP:0500238
Abnormal CSF albumin concentration	HP:0500238
Increased CSF albumin concentration	HP:0500239
High albumin levels in cerebrospinal fluid	HP:0500239
Abnormality of ciliary ganglion	HP:3000025
Abnormality of cervical plexus	HP:3000035
Abnormality of glossopharyngeal nerve	HP:3000047
Abnormal glossopharyngeal nerve morphology	HP:3000047
Abnormal great auricular nerve morphology	HP:3000048
Abnormality of inferior alveolar nerve	HP:3000055
Abnormality of infra-orbital nerve	HP:3000061
Abnormality of the infraorbital nerve	HP:3000061
Abnormal lingual nerve morphology	HP:3000075
Abnormality of lingual nerve	HP:3000075
Preretinal haemorrhage	None
Preretinal hemorrhage	None
Preretinal heme	None
Presenile cataract	None
Presenile cataracts	None
Total colorblindness	None
Complete achromatopsia	None
Monochromacy	None
Central retinal vessel vascular tortuosity	None
Tortuosity of main retinal vessels	None
Staphyloma	None
Scleral staphyloma	None
Combined hamartoma of the retinal pigment epithelium and retina	None
Medial rectus muscle restriction	None
Unaided visual acuity 1.1 LogMAR	None
Ptosis, bilateral congenital	None
Congenital bilateral ptosis	None
Congenital drooping of both upper eyelids	None
Ptosis, congenital bilateral	None
Damaged optic nerve	None
Optic neuropathy	None
Microspherophakia	None
Retinal flecks	None
Deuteranopia	None
Green-blind	None
Ectopia lentis	None
Abnormality of lens position	None
Lens dislocation	None
Abnormality of visual evoked potentials	None
Abnormal visual-evoked potentials	None
VEP abnormalities	None
Abnormal visual evoked potential	None
Abnormal vision evoked potentials	None
Abnormal visual evoked responses	None
Hyporeflective spaces on macular OCT	None
Internuclear ophthalmoplegia	None
Chorioretinal lacunae	None
Lacunar retinal depigmentation	None
Macular thickening	None
Absent smooth pursuit	None
Abnormal amplitude of dark-adapted bright flash electroretinogram	None
Unaided visual acuity 1.0 LogMAR	None
Sclerocornea	None
Hardening of skin and connective tissue	None
Retinal degeneration	None
Retina degeneration	None
Internal ophthalmoplegia	None
Deep episcleral hyperemia	None
Deep episcleral hyperaemia	None
Meibomian gland dysfunction	None
Posterior blepharitis	None
Meibomian gland disease	None
Vitreous snowballs	None
Increased vertical cup-to-disc ratio	None
Vitreitis	None
Vitritis	None
Hyalitis	None
Abnormality of globe size	None
Abnormality of eyeball size	None
Eye size difference	None
Retinopathy of prematurity	None
Retinal cavernous haemangioma	None
Retinal cavernous hemangioma	None
Bulging cornea	None
Keratoconus	None
Conical cornea	None
Narrow retinal arterioles	None
Retinal arteriolar narrowing	None
Retinal arteriolar constriction	None
Constricted retinal arterioles	None
Abnormal amplitude of dark-adapted dim flash electroretinogram	None
Abnormality of refraction	None
Incyclophoria	None
Severe peripheral visual field loss	None
Severe constriction of peripheral visual field	None
Long-sightedness	None
Hyperopia	None
Farsightedness	None
Hypermetropia	None
Increased vertical cup-to-disc ratio - 0.6	None
Incyclotropia	None
Hyperdeviation	None
Abnormality of ocular abduction	None
Blind spot located at fixation point	None
Central blind spot	None
Central scotomata	None
Central scotoma	None
Anterior chamber flare grade 1+	None
Abnormal timing of pattern onset/offset visual evoked potentials	None
Pinhole visual acuity 0.2 LogMAR	None
Lipemia retinalis	None
Retinal pigment epithelial atrophy	None
Vitreous hemorrhage	None
Vitreous haemorrhage	None
Primary angle closure glaucoma	None
Angle closure glaucoma	None
Rieger anomaly	None
Decreased light- and dark-adapted electroretinogram amplitude	None
Flattened or absent electroretinogram	None
Decreased electroretinogram amplitude	None
Decreased ERG amplitude	None
Reduced ERG	None
Reduced electroretinogram	None
Reduced or abolished electroretinogram	None
Decreased electroretinogram	None
Decreased electroretinogram response	None
Decreased amplitudes on flash visual electroretinogram	None
Hyphema	None
Arc-shaped blind spot	None
Arcuate scotoma	None
Congenital cataract	None
Congenital cataracts, bilateral	None
Congenital cataracts	None
Cataract, congenital	None
Bilateral congenital cataracts	None
Developmental cataract	None
Clouding of the lens of the eye at birth	None
Foveal retinal pigment epithelial loss on macular OCT	None
Lenticonus	None
Vitreoretinopathy	None
Vitreoretinal degeneration	None
Vitreoretinal abnormality	None
Decreased corneal diameter	None
Cornea of eye less than 10mm in diameter	None
Microcornea	None
Abnormality of binocular vision	None
Fleischer's ring	None
Fleischer-Kayser ring	None
Kayser-Fleischer ring	None
Fleischer-Struempell ring	None
Abnormal oblique muscle physiology	None
Pigmentation of the outer white part of the eyeball	None
Pigmentation of the sclera	None
Dysmetric saccades	None
Dysmetric eye saccades	None
Uncoordinated eye movement	None
Dysmetric eye movements	None
Iris transillumination defect	None
Optic disk pallor	None
Pale optic discs	None
Optic disc pallor	None
Pale optic disc	None
Disc pallor	None
Pale optic disk	None
Abnormal Humphrey SITA 30-2 perimetry test	None
Abnormal involuntary eye movements	None
Retinopathy of prematurity plus	None
ROP plus	None
Pericentral retinitis pigmentosa	None
Retinitis	None
Increased OCT-measured macular thickness	None
Ophthalmoplegia	None
Eye muscle paralysis	None
Paralysis of extraocular eye movement	None
Mild reduction in visual acuity	None
Mildly reduced visual acuity	None
Mild vision loss	None
Mild visual loss	None
Iridodonesis	None
Depigmented fundus	None
Corneal clouding	None
Corneal opacity	None
Corneal opacities	None
Scarring or clouding of the cornea of the eye	None
Reduction of corneal clarity	None
Hypometric saccades	None
Mizuo phenomenon	None
Mizuo-Nakamura phenomenon	None
Small lens	None
Microphakia	None
Iris flocculi	None
Dislocated lens	None
Lens luxation	None
Dislocated lenses	None
Near sighted	None
Nearsightedness	None
Close sighted	None
Myopia	None
Near sightedness	None
Premacular hemorrhage	None
Best corrected visual acuity 0.6 LogMAR	None
Unaided visual acuity 0.9 LogMAR	None
Upbeat nystagmus	None
Retinopathy of prematurity stage 5	None
ROP stage 5	None
Posterior embryotoxon	None
Embryotoxon	None
Focal subretinal deposits	None
Phthisis bulbi	None
Myopic astigmatism	None
Stellate iris	None
Punctate lenticular opacities	None
Punctate cataract	None
Fundus atrophy	None
Conjunctival telangiectases	None
Conjunctival telangiectasia	None
Telangiectasia, conjunctival	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Abnormality of the optic disc	None
Strabismus	None
Squint eyes	None
Cross-eyed	None
Squint	None
Abnormality of Descemet's membrane	None
Abnormal Descemet membrane morphology	None
Hypometric upward saccades	None
Abnormal stereopsis	None
Hemianopsia	None
Hemianopia	None
Placoid macular lesion	None
Pinhole visual acuity 1.3 LogMAR	None
Eye movement-induced pain	None
Vision issue	None
Abnormality of vision	None
Abnormality of sight	None
Ectopic macula	None
Ectopic fovea	None
Abnormal superior rectus muscle physiology	None
Hypermetric horizontal saccades	None
Retinal vascular malformation	None
Compensatory face turn to the right	None
Esotropia	None
Inward turning cross eyed	None
Congenital miosis	None
Vitelliform-like retinal lesions	None
Abnormal full-field electroretinogram	None
Corneal neovascularisation	None
New blood vessel formation in cornea	None
Limbal neovascularization	None
Corneal vascularization	None
Corneal neovascularization	None
Anterior subcapsular cataract	None
Salt and pepper retinal pigmentation	None
RPE mottling	None
Focal hypopigmentation of the retinal pigment epithelium	None
Retinal pigment epithelial mottling	None
Salt and pepper retinopathy	None
Retinal pigment epithelium irregularity	None
RPE irregularity	None
Submacular hemorrhage	None
Sub-macular hemorrhage	None
Submacular haemorrhage	None
Abnormal visual fixation	None
Subhyaloid heme	None
Subhyaloid hemorrhage	None
Divergent strabismus	None
Exodeviation	None
Mosaic corneal dystrophy	None
Best corrected visual acuity 0.3 LogMAR	None
Blocked retinal artery	None
Retinal arteriolar occlusion	None
Monocular strabismus	None
Unilateral strabismus	None
Benign eye tumor	None
Epibulbar dermoids	None
Epibulbar dermoid	None
Limbal dermoid	None
Posterior Y-sutural cataracts	None
Posterior Y-sutural cataract	None
Vitreomacular traction	None
VMT	None
Difficulty adjusting from light to dark	None
Abnormal eye movement	None
Eye movement issue	None
Abnormal extraocular movement	None
Abnormal extraocular movements	None
Abnormal eye motility	None
Abnormal movement of the globe of the eye	None
Abnormality of eye movement	None
Abnormal eye movements	None
Oculomotor abnormalities	None
Abnormal ocular movements	None
Abnormal motility of the globe of the eye	None
Ocular movement abnormalities	None
Eye movement abnormalities	None
Optic nerve tram-track sign	None
Absence of eyeballs	None
Failure of development of eyeball	None
Missing eyeball	None
No eyeball	None
Clinical anophthalmia, unilateral/bilateral	None
Absence of globes of eyes	None
Ocular absence	None
Anophthalmia	None
Anophthalmia, clinical	None
No globe of eye	None
Missing globe of eye	None
Glaucomatous visual field defect	None
Polypoidal choroidal vasculopathy	None
Deuteranomoly	None
Green-weak	None
Deuteranomaly	None
Generalized opacification of the cornea	None
Generalised opacification of the cornea	None
Incomitant strabismus	None
Lester's sign	None
Oblique astigmatism	None
Grouped congenital hypertrophy of retinal pigment epithelium	None
Bear track congenital hypertrophy of retinal pigment epithelium	None
Abnormality of lens shape	None
Supranuclear downgaze palsy	None
Downgaze palsy	None
Downgaze paresis	None
Cyclodeviation	None
Nonprogressive restrictive external ophthalmoplegia	None
Peripheral retinal degeneration	None
Macular haemorrhage	None
Macular hemorrhage	None
Bleeding occurring within the macula lutea of the retina.	None
Epiretinal membranes	None
Premacular fibrosis	None
Epiretinal membrane	None
Macular pucker	None
Retinal crystals	None
Increased vertical cup-to-disc ratio - 1.0	None
Near exotropia	None
Abnormal morphology of the choroidal vasculature	None
Round retinal heme	None
Dot-and-blot retinal hemorrhage	None
Dot-and-blot retinal haemorrhage	None
Paralysis or weakness of muscles within or surrounding outer part of eye	None
CPEO	None
Chronic progressive external ophthalmoplegia	None
External ophthalmoplegia	None
Progressive paralysis or weakness of muscles of eye motility	None
Progressive paralysis or weakness of muscles of eye movement	None
Ophthalmoplegia externa	None
Cornea plana	None
Flat cornea	None
Retinopathy of prematurity stage 5a	None
ROP stage 5a	None
Iridocele	None
Corneal perforation	None
Lateral rectus muscle weakness	None
Pinhole visual acuity 0.6 LogMAR	None
Neoplasia of the eye	None
Neoplasm of the eye	None
Eye tumor	None
Cortical blindness	None
Cortical visual impairment	None
Cortical/cerebral visual impairment	None
Cerebral visual impairment	None
CVI	None
Abnormal amplitude of pattern electroretinogram	None
Hypertensive retinopathy	None
Abnormal pupillary light reflex	None
Elevated intraocular pressure	None
High eye pressure	None
Ocular hypertension	None
Raised IOP	None
Raised intraocular pressure	None
Increased IOP	None
Increased intraocular pressure	None
Elevated IOP	None
Superior oblique palsy	None
Superior oblique muscle weakness	None
Choriocapillaris atrophy	None
Decreased lacrimation	None
Decreased tear secretion	None
Colorblindness, partial, protan series	None
Red-weak	None
Protanomaly	None
Macular flecks	None
Multifocal sub-RPE deposits	None
Concomitant strabismus	None
Comitant strabismus	None
Microtropia without identity	None
Band-shaped corneal dystrophy	None
Punctate corneal dystrophy	None
Optic disk coloboma	None
Optic nerve coloboma	None
Coloboma of optic nerve	None
Gaze-evoked horizontal nystagmus	None
Nystagmus, horizontal gaze-evoked	None
Nystagmus, horizontal, gaze-evoked	None
Corneal erosion	None
Damage to outer layer of the cornea of the eye	None
Medial rectus muscle weakness	None
Temporal optic disc pallor	None
Beaten metal macular appearance	None
Beaten-bronze macular sheen	None
Beaten-bronze macular appearance	None
Beaten bronze macular sheen	None
Abnormal electroretinography	None
Abnormal ERG	None
Abnormal electroretinogram	None
ERG abnormal	None
Dissociated horizontal deviation	None
Recurrent external ophthalmoplegia	None
Abnormal Humphrey SITA 24-2 perimetry test	None
Reflex tearing	None
Perifoveal ring of hyperautofluorescence	None
Vortex keratopathy	None
Cornea verticillata	None
Abnormality of iris blood vessels	None
Abnormal iris vasculature	None
Superior lens subluxation	None
Superior subluxated lens	None
Hypermetric saccades	None
Microcoria	None
Peripapillary chorioretinal atrophy	None
Foveal subretinal hyporeflective spaces on macular OCT	None
non-detectable photopic ERG	None
Undetectable light-adapted electroretinogram	None
Absent photopic (cone) responses on ERG	None
Axenfeld anomaly	None
Pinhole visual acuity 0.7 LogMAR	None
Age-related posterior subcapsular cataract	None
Vomitting blood	None
Hematemesis	None
Duplication of internal organs	None
Islet of Langerhans hyperplasia	None
Islets of langerhans hypertrophy	None
Pancreatic islet-cell hypertrophy	None
Hypertrophic pancreatic islets	None
Hyperplastic islets of langerhans	None
Pancreatic islet-cell hyperplasia	None
Ileal atresia	None
Pancreatitis, acute	None
Acute pancreatitis	None
Acute pancreatic inflammation	None
Adenocarcinoma of the large intestine	None
Adenocarcinoma of the small intestine	None
Splenic rupture	None
Ruptured spleen	None
Benign gastrointestinal tract tumors	None
Benign GI tract tumors	None
Non-cancerous GI tumors	None
Pelvic mass	None
Melena	None
Black feces	None
Frequent vomiting	None
Episodic vomiting	None
Acute liver inflammation	None
Acute hepatitis	None
Esophageal carcinoma	None
Diarrhoea	None
Watery stool	None
Diarrhea	None
Fluctuating splenomegaly	None
Anal mucosal leukoplakia	None
Portosystemic collateral veins	None
Collateral biliary circulation	None
Collateral biliary veins	None
Focal pancreatic islet hyperplasia	None
Perforation of the colon	None
Colon perforation	None
Abnormal bowel sounds	None
Bowel obstruction	None
Intestinal blockage	None
Intestinal obstruction	None
Jejunoileal ulceration	None
Suppurative cholangitis	None
Intestinal malabsorption	None
Malabsorption	None
Portal fibrosis shown on biopsy	None
Portal fibrosis	None
